epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,3750.62,0.10914,0.06147,0.08776,0.78492,0,0.99104,0.95171,0.97426,0.95514,0.99018,0.95038,0.96767,0.75944,0.13002,0.15724,0.0903,0.75614,0,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,3809.47,0.10814,0.05779,0.08721,0.78501,0,0.98657,0.95449,0.9746,0.95499,0.98671,0.95091,0.96693,0.75923,0.13007,0.15728,0.0899,0.75599,0,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,3868.32,0.10873,0.06027,0.08843,0.78634,0,0.9886,0.95149,0.97515,0.95386,0.98885,0.94753,0.96949,0.75921,0.13035,0.15515,0.08984,0.75632,0,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3926.99,0.10791,0.0588,0.08781,0.78644,0,0.98919,0.95098,0.97563,0.95387,0.99094,0.94711,0.97126,0.75972,0.12949,0.15365,0.09033,0.75663,0,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3985.77,0.1065,0.05715,0.0862,0.78574,0,0.99015,0.95423,0.97501,0.9537,0.98835,0.95231,0.97117,0.76021,0.12802,0.14857,0.08941,0.75665,0,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4044.96,0.1058,0.05775,0.08518,0.78613,0,0.99303,0.95408,0.97508,0.95481,0.99451,0.95196,0.97111,0.76015,0.12719,0.15005,0.0882,0.75655,0,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4103.23,0.10648,0.05855,0.08471,0.78632,0,0.99197,0.95498,0.97719,0.95496,0.99119,0.95346,0.97125,0.75989,0.12699,0.1505,0.08614,0.75652,0,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4162.23,0.10558,0.05827,0.08454,0.78598,0,0.98411,0.9643,0.97779,0.95525,0.99042,0.95228,0.97138,0.76063,0.12684,0.15008,0.08594,0.75629,0,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4221.1,0.10534,0.05874,0.08355,0.78515,0,0.98837,0.95689,0.97704,0.95418,0.98691,0.95447,0.96949,0.76005,0.12785,0.14549,0.08618,0.75587,0,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,4279.56,0.10397,0.0584,0.0825,0.78528,0,0.98833,0.95656,0.97526,0.95442,0.98745,0.95372,0.97102,0.75985,0.12785,0.1471,0.0864,0.75573,0,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,4338.57,0.10303,0.05808,0.08167,0.7856,0,0.97886,0.96385,0.9763,0.95335,0.98531,0.95105,0.96925,0.75983,0.12846,0.14937,0.08774,0.75561,0,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,4397.01,0.10358,0.05776,0.08198,0.78533,0,0.98765,0.95622,0.97402,0.9537,0.99249,0.94622,0.96939,0.75911,0.12749,0.15177,0.08711,0.75562,0,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,4455.48,0.1029,0.05815,0.08079,0.78475,0,0.98545,0.96011,0.97434,0.95481,0.98902,0.95255,0.96936,0.75929,0.12641,0.15038,0.08678,0.7557,0,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,4513.78,0.1023,0.05792,0.08074,0.78564,0,0.98526,0.96005,0.97384,0.9544,0.99251,0.95023,0.96899,0.75939,0.12609,0.15041,0.08657,0.75573,0,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,4572.81,0.10141,0.05736,0.07917,0.78628,0,0.98648,0.95938,0.97421,0.95405,0.98477,0.95682,0.96918,0.75924,0.12642,0.15142,0.08589,0.75599,0,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,4631.21,0.10113,0.05751,0.07836,0.78501,0,0.989,0.95481,0.97599,0.95543,0.98721,0.95295,0.97086,0.75919,0.12708,0.15147,0.08669,0.75592,0,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,4690.36,0.10088,0.05583,0.0787,0.78484,0,0.98177,0.96056,0.97484,0.95476,0.99478,0.94672,0.9696,0.75927,0.1266,0.15105,0.08613,0.75601,0,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,4749.12,0.10068,0.05667,0.07758,0.78541,0,0.99365,0.95139,0.97508,0.95504,0.99219,0.94931,0.96975,0.75887,0.12626,0.15107,0.08592,0.75619,0,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
